...1,...2,...3,...4,...5,...6,...7,...8,...9,TRANSPORTATION,...11,...12,...13,...14,...15,...16,...17,PUBLIC SPACE,...19,...20,...21,SOLID WASTE,...23,...24,...25,...26,...27,...28,...29,HOUSING,...31,...32,...33,...34,...35,...36,...37,...38
No.,City,Country,Population,Size,Average HH Size,Number of HH,Average Monthly Household Income of the Lowest Quintile of Population (USD 2019),Area Sq.Km,Current Length of Roads,Paved roads (% total),No. Buses in Operation,Existing Bus Stops in Operation,Existing Bus Terminals in Operation,Average cost of public transit ticket (USD 2019),Total Transportation Cost from 2019-2030 (USD 2019),NA,Existing Open Space (Sq. Km),Cost of Vacant Land (USD2019/Sq. Km),Total Public Space Cost from 2019-2030 (USD 2019),NA,"GDP per capita (projected, constant 2011 international $)",(Projected) Waste Generated per capita (kg/yr),Disposal cost per ton (2019 USD),Collection and Transportation cost per ton (2019 USD),Existing hectares of sanitary landfill,Price land per hectare,Total Solid Waste Cost from 2019-2030 (USD 2019),NA,Percentage of HH in Need of Adequate Housing Upgrades,Average Market Price of an Adequate Home 550 sqft (USD 2019),Average Monthly Rent of an Adequate Home 550 SqFt per month (USD 2019.),Total Housing Cost from 2019-2030 (USD 2019),NA,Total Governance Cost from 2019-2030 (USD 2019),NA,Latitute (Decimal),Longitude (Decimal)
1,Sucre,Bolivia,265028.74551111902,Medium,3.6769491146556486,72078.437108297963,468.8029792149182,34.052254615026783,637.73787600000003,0.10811765745075523,42,0,0,0.22,1536101875.6460705,NA,0.48152480669100001,112666666.66666667,372529500.65645623,NA,7332.1515286784361,189.38701711158538,12.536338246924021,24.26234284290619,0,7700,30570436.600731175,NA,0.29545180282922212,38540.810000000005,1075,1035563482.632672,NA,55865200,NA,-19.040970846699999,-65.259515626699994
2,La Paz,Bolivia,842200.26293095062,Medium,3.3070982737810106,254664.41974464271,524.18975366229711,90.663333133777869,1668.5831900000001,0.10811765745075523,98,0,1,0.36,4865477003.7157965,NA,4.3641126541710005,250000000,1469382968.2288766,NA,7332.1515286784361,238.79232592330331,12.536338246924021,24.26234284290619,0,7700,122488183.73800626,NA,0.23799410516137157,44525.250000000007,1714.41,4414594637.4068813,NA,55865200,NA,-16.497973613700001,-68.149985190500004
3,El Alto,Bolivia,939905.45983825868,Medium,3.2836322428840261,286239.56348191306,524.18975366229711,163.09566023144248,3643.723684,0.10811765745075523,0,0,0,0.28999999999999998,5113470681.236496,NA,0.52077137448099997,148489405.06416112,1802387546.3408322,NA,7332.1515286784361,156.4501445704401,12.536338246924021,24.26234284290619,0,7700,89560930.635592163,NA,0.48121528157984184,38540.810000000005,1566.3,5280520611.1374655,NA,118124600,NA,-16.490107999999999,-68.208178000000004
4,Viacha,Bolivia,69896.92276964114,Small,3.1216650512676596,22390.910498631842,524.18975366229711,21.789563822271017,482.31696199999999,0.10811765745075523,5,0,0,0.28999999999999998,6749334.0128200017,NA,4.4427618498999996E-2,148489405.06416112,133145552.62393023,NA,7332.1515286784361,102.92772669107902,12.536338246924021,24.26234284290619,0,7700,4381763.0989313712,NA,0.69096065060847545,38540.810000000005,1566.3,463369296.33604205,NA,16247200,NA,-16.650005677500001,-68.299950197000001
5,Cochabamba,Bolivia,701436.41293779213,Medium,3.499256931524287,200452.96091826109,474.2370659555292,134.04213373470196,2447.370347,0.10811765745075523,126,0,1,0.28999999999999998,4298257657.3196354,NA,7.1776520242890003,119387755.10204081,276769771.40994942,NA,7332.1515286784361,247.02654405858962,12.536338246924021,24.26234284290619,0,7700,105533510.84437338,NA,0.44546506945213082,30956.309999999998,1181.08,3044357730.7460241,NA,55865200,NA,-17.410010967200002,-66.169976848999994
6,Quillacollo,Bolivia,130805.21158969078,Medium,3.7482185273159367,34897.968364549743,474.2370659555292,24.899312649963424,371.35716600000001,0.10811765745075523,79,0,0,0.28999999999999998,869081506.52633619,NA,0.81946120920999999,196043165.46762589,161093544.2507143,NA,7332.1515286784361,222.32388965273066,12.536338246924021,24.26234284290619,0,7700,17712082.898842752,NA,0.35205439633279956,38540.810000000005,1566.3,595361023.51845336,NA,55865200,NA,-17.3999857393,-66.279995973400005
7,Tiquipaya,Bolivia,54907.357375989719,Small,3.862113298513461,14216.920409125161,474.2370659555292,15.517174924235158,202.292317,0.10811765745075523,0,0,0,0.28999999999999998,163366344.9828977,NA,0.76316986217600002,148489405.06416112,19090687.975806694,NA,7332.1515286784361,222.32388965273066,12.536338246924021,24.26234284290619,0,7700,7434899.9843410105,NA,0.48923380514187254,38540.810000000005,1566.3,264488869.75962928,NA,16247200,NA,-17.334811,-66.215763999999993
8,Colcapirhua,Bolivia,57700.837021763495,Small,3.8002825488883709,15183.301841238541,474.2370659555292,11.342463341184736,191.31908899999999,0.10811765745075523,0,0,0,0.28999999999999998,68399698.489169225,NA,0.31195647948600003,148489405.06416112,66900239.438438803,NA,7332.1515286784361,189.38701711158538,12.536338246924021,24.26234284290619,0,7700,6655654.5652476735,NA,0.2872689058882727,38540.810000000005,1566.3,247958183.23549849,NA,16247200,NA,-17.393631,-66.230841999999996
9,Sacaba,Bolivia,166598.81987568605,Medium,3.6804514106582928,45265.865864504878,474.2370659555292,44.25241110496448,695.62684200000001,0.10811765745075523,0,0,1,0.28999999999999998,1222719472.1467028,NA,1.0562045041570001,148489405.06416112,168863425.7801477,NA,7332.1515286784361,160.56725363808326,12.536338246924021,24.26234284290619,0,7700,16292485.998471197,NA,0.47148811289693543,38540.810000000005,1566.3,833077799.60977829,NA,55865200,NA,-17.404019,-66.040205999999998
