City,Country,Population,Size,Average_HH_Size,Number_of_HH,Monthly_Income,Existing_Open_Space,Public_Space_Cost,Percentage_of_HH_in_Need_of_Adequate_Housing_Upgrades,Average_Market_Price_of_an_Adequate_Home,Average_Monthly_Rent_of_an_Adequate_Home,Total_Housing_Cost_from,Total_Governance_Cost
Sucre,Bolivia,265028.745511119,Medium,3.676949114655649,72078.43710829796,468.8029792149182,0.481524806691,372529500.65645623,0.2954518028292221,38540.810000000005,1075,1035563482.632672,55865200
La Paz,Bolivia,842200.2629309506,Medium,3.30709827378101,254664.4197446427,524.1897536622971,4.3641126541710005,1469382968.2288766,0.23799410516137157,44525.25000000001,1714.41,4414594637.406881,55865200
El Alto,Bolivia,939905.4598382587,Medium,3.283632242884026,286239.56348191306,524.1897536622971,0.520771374481,1802387546.340832,0.48121528157984184,38540.810000000005,1566.3,5280520611.1374655,118124600
Viacha,Bolivia,69896.92276964114,Small,3.1216650512676596,22390.91049863184,524.1897536622971,0.044427618499,133145552.62393025,0.6909606506084754,38540.810000000005,1566.3,463369296.3360421,16247200
Cochabamba,Bolivia,701436.4129377921,Medium,3.499256931524287,200452.9609182611,474.2370659555292,7.177652024289,276769771.4099494,0.4454650694521308,30956.31,1181.08,3044357730.746024,55865200
Quillacollo,Bolivia,130805.21158969078,Medium,3.7482185273159367,34897.96836454974,474.2370659555292,0.81946120921,161093544.2507143,0.35205439633279956,38540.810000000005,1566.3,595361023.5184534,55865200
Tiquipaya,Bolivia,54907.35737598972,Small,3.862113298513461,14216.92040912516,474.2370659555292,0.763169862176,19090687.975806694,0.48923380514187254,38540.810000000005,1566.3,264488869.75962928,16247200
Colcapirhua,Bolivia,57700.837021763495,Small,3.8002825488883714,15183.30184123854,474.2370659555292,0.311956479486,66900239.4384388,0.2872689058882727,38540.810000000005,1566.3,247958183.2354985,16247200
Sacaba,Bolivia,166598.81987568605,Medium,3.680451410658293,45265.86586450488,474.2370659555292,1.056204504157,168863425.7801477,0.47148811289693543,38540.810000000005,1566.3,833077799.6097783,55865200
Oruro,Bolivia,294045.64075893606,Medium,3.4135915669485275,86139.66697304355,490.99634448579747,0.414179885539,779368820.1494368,0.4838164319513411,38540.810000000005,1566.3,1595376662.6026914,55865200
